PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
"John Weston Restaurant Group, LLC dba Weston's Coffee & Tap","John ""Nick"" Davis",4872,,N,Milwaukee,Ave,45,Jefferson Park,Jefferson Park,06/15/2017,01/11/2018,Commercial,"Signage, ceiling beautification, general construction, built-in refrigeration unit, permanent seating, flooring, interior signage, lighting fixtures, bathrooms, commercial sink and drainage, plumbing., ceilings, tile and laminate flooring, FRP Panels, and install new doors; renovate existing restroom and build-out of a new restroom (framing, drywall, rough and finish plumbing, toilet, sink, vanity, lighting, outlets, painting, exhaust fan, flooring, and new door); electrical including furnish and install lighting fixtures, and low voltage wiring; plumbing including finish plumbing for all sinks (mop sink, 3-compartment sink, and hand sinks) hot water heater, booster pump, grease trap, and trimmings; HVAC work including new ducts, exhaust fans, fresh air intake, grills, registers, new duct heater, and modifications on existing air supply as needed; furnish and install a walk-in cooler and new concrete slab for proper support of walk-in cooler in basement; install underlayment and tile flooring, painting and trim throughout, and install new awning (structural elements only)",99408.06,144095,6,0,POINT (-87.762592979 41.969529005)
Mike O'Malley,Mike O'Malley,5159,,W,Fullerton,Ave,31,Belmont Cragin,Belmont/Central,,04/13/2005,Commercial,HVAC,5000,10000,,,POINT (-87.755962977 41.923866995)
"ECARG, Inc. dba Chicagoland Ham- SI",Robert C. Williams,8615,17,S,Stony Island,Ave,8,AVALON PARK,Stony Island/Burnside,01/11/2023,06/01/2023,General Commercial,"exterior renovations including installation of two (2) double framed aluminum commercial glass windows. Interior renovations including repair of freezers with one condensing unit for walk-in cooler, install two horse trays and new evaporator, relocate condensing unit outside of the west walk-in cooler, reconnect and pressure test; painting of the ceiling, install security system, painting of kitchen and prep room, application of epoxy flooring system.",20396.25,25160,1,2,POINT (-87.584939966 41.738245013)
TEC Foods Inc,Tas Costianis,4300,,W,Ohio,St,28,Humboldt Park,Northwest Industrial Corridor,,08/08/2006,Industrial,"ADA Compliance, perm lanscaping, parking lot curbs",35709,50000,,,POINT (-87.732912995 41.891775998)
Steven Graves,Steven Graves,3822,,W,111th,St,19,Mount Greenwood,111th/Kedzie,,07/02/2009,Landlord,"Parking lot paving, roof",8029.5,16059,,,POINT (-87.716420008 41.691492014)
Pressure Billiards,Wahib Merchant,6318,,N,Clark,St,40,Edgewater,Clark/Ridge,,04/18/2008,Commercial,"fence, sign, landscape, HVAC",8525,15500,,,POINT (-87.670766966 41.997043985)
"Chicago Research Center, Inc.",Eric Malm,3401,,N,Central,Ave,36,Portage Park,Belmont/Central,01/25/2016,01/24/2017,Commercial,"general demolition in connection with the project (west elevation, rear entryway; interior demolition); install new metal and wood façade curtain wall and permanent canopy above front and rear entries; new doors and windows at facade and rear; install new aluminum frames and windows in south elevation and associated masonry; replace existing acoustical ceiling tiles in interior; install new vinyl and carpet flooring in exam rooms and offices; carpentry to install frames and hardware for six (6) new interior doors; painting in connection with interior work; furnish and install new bathroom partitions; furnish and install new ceramic tile for bathroom walls and floors; plumbing for four (4) new sinks and faucets in exam rooms; install interior pass through window; install new electrical box in conference room; and renovations to existing HVAC duct work to accommodate new layout",100000,283589.26,,,POINT (-87.766281016 41.942360993)
AJC Restoration Inc,Wally Cilulko,228,,N,Washtenaw,Ave,27,East Garfield Park,Kinzie Industrial Corridor,,01/04/2006,Industrial,"new roof, replace concrete, renovate walls",36075,72150,,,POINT (-87.694289017 41.885270007)
Payless Fashion House,Sang S Nam,4021,,W,North,Ave,30,Humboldt Park,Pulaski Corridor,,04/28/2008,Commercial,"Storefront, windows",10395,20790,,,POINT (-87.727390997 41.90959999)
"GreenWay Resource Recovery, LLC",Jeff Thompson,2100,,S,Kilbourn,Ave,24,North Lawndale,Roosevelt/Cicero,03/03/2015,01/08/2016,Industrial,"demolish old concrete and install approximately 10,050 square feet of concrete flooring; phase I of masonry repairs to the exterior walls of 2100 S. Kilbourn: grinding; tuck pointing; rebuilding of the parapet walls with new flashings; replacement of spalled bricks and lintels with flashing replacement
, balance of the masonry repairs (grinding and tuck pointing) to the exterior walls of 2100 S. Kilbourn",62212.5,124425,0,0,POINT (-87.737764021 41.852963009)
Bright Star Management,Peter Miller,1143,,W,Rundell,Pl,25,Near West Side,Central West,08/05/2011,10/25/2012,Industrial,"replacement of freight elevator with passenger elevator, electrical work",134702.2,191994.15,0,8,POINT (-87.656209025 41.881054999)
Prepare To Win,Ray Kincaid,4445,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,03/29/2001,Commercial,"HVAC, Façade, ADA compliance",50000,143443,,,POINT (-87.755031999 41.961912998)
Visceral Dance Center,Nicholas Pupillo,3121,,N,Rockwell,St,33,Avondale,Addison Corridor (South),07/22/2020,01/24/2023,General Commercial,"furnish and install thirteen (13) skylights; rebuild rear elevation masonry wall, windows; furnish and install exterior commercial doors and three (3) garage doors; interior improvements including: install new aluminum vestibule, install new floor system, furnish and install twenty-two (22) interior doors; mechanical upgrades including HVAC (furnish and install new rooftop units), and plumbing (new plumbing lines for bathrooms and fixtures).",50000,254026.8,1,4,POINT (-87.692213993 41.938485998)
Lakeshore Plumbing,Leo Deely,5332,,N,Elston,Ave,45,Jefferson Park,Elston/Armstrong,12/29/2013,01/15/2015,Commercial,"facade renovations, windows, doors, parking lot, sewer work, landscaping and fencing including electrical gate.",81158.25,116771,15,10,POINT (-87.756788008 41.978007006)
"Mercury Maintenance, Inc.",Karl Krutsch,2940,,N,Cicero,Ave,31,Belmont Cragin,Belmont/Cicero,12/14/2012,12/17/2013,Commercial,"work to the car wash facility only: solar thermal domestic hot water system, solar photovoltaic electrical system, and associated demolition, masonry, framing, and roofing work",100000,133500,3,12,POINT (-87.747087967 41.934552999)
"Anna Maria Pasteria, Inc.",Anna Picciolini,4400,,N,Clark,St,47,Uptown,Clark/Montrose,,08/03/2005,Commercial,Tuckpoint / Exterior / Interior,50000,100000,,,POINT (-87.666206959 41.961830017)
"Galloy and Van Etten, Inc.",Bernard Van Etten Jr.,11756,,S,Halsted,St,34,West Pullman,119th/Halsted,11/10/2015,06/06/2016,Industrial,"tuck pointing and associated masonry repairs to the entire building exterior (tuck point all stone mortar joints; patch stone units; install helical wall tie anchors at parapets; and replace stone coping joint sealant); remove existing stone shop area light fixtures and replace with twenty-seven (27) new energy-efficient T-5 fixtures; replace four (4) exterior lights affixed to craneway and two (2) exterior lights affixed to the building with energy-efficient replacements; and roof repairs (install bitumen roof patches over approx. 1,000 sq. ft. of roof and install a new aluminum coating over the patches)",53544.96,107089.91,0,25,POINT (-87.642286014 41.680111988)
Nima Corp. dba Noon O Kabab,Mir Naghavi,4651,,N,Kedzie,Ave,33,Albany Park,Lawrence/Kedzie,,08/26/2008,Commercial,"Interior renovations, fixed asset equipment, parking lot, systems renovation, fencing",14324,28040,,,POINT (-87.708061993 41.966186008)
Convenience for you Inc,Fredrick Sims,5337,,W,Madison,St,29,Austin,Madison/Austin,01/16/2011,11/21/2011,Commercial,,57090,76120,,,POINT (-87.759053972 41.880076999)
"Tsironis, LLC dba Ix-Chel I Dream In Color Frozen Delights",Guadalupe Tsironis,4968,,N,Milwaukee,Ave,45,Jefferson Park,Jefferson Park,09/17/2021,03/30/2022,Mixed-Use: Retail and Residential,"Installation of interior rolling shutters, signage (business specific elements excluded), and electrical work including a dedicated circuit to the front of the building and bring power to a junction box for new signage",8388.68,11684.9,0,3,POINT (-87.764116976 41.971180994)
CPN Development Clark LLC,Diane Mikutis,6318,,N,Clark,St,40,Edgewater,Clark/Ridge,,09/24/2009,Landlord,tuck-pointing,4350,50000,,,POINT (-87.670766966 41.997043985)
Wasabi Café,Hyun Lim,3910,,N,Lincoln,Ave,47,North Center,Western Avenue (South),01/08/2012,11/13/2012,Commercial,complete rehab,150000,307983,0,5,POINT (-87.67793802 41.952590017)
Plants Inc,Patrick Corrado,2459,,W,Montrose,Ave,47,North Center,Western Avenue (South),,08/29/2007,Commercial,"storefront, lintels, masonary, interior renovations, signage",37917,78338,,,POINT (-87.690885965 41.961074011)
Concept Laboratories,Stephen Sands,1400,,W,Wabansia,Ave,2,West Town,North Branch (South),03/24/2010,01/07/2011,Industrial,"Paving, electical, interior renovations, lighting, lighting, HVAC, drop ceiling, flooring, façade, security, electrical, lighting, HVAC, drop ceiling, flooring, façade, security, electrical",57000,125571.56,,,POINT (-87.66304497 41.913702009)
Avondale Auto Repair Inc.,Manfred Lopez,3425,,N,Pulaski,Rd,30,Avondale,Avondale,07/17/2020,12/18/2020,General Commercial,"roofing work including tear-off and installation of insulation, torch down modified bitumen roofing system, flashing, termination bars, and four (4) new dome skylights",100000,134000,2,3,POINT (-87.726968968 41.943563)
PKP Associates LTD Gabriel Enviornmental,John Polich,1421,,N,Elston,Ave,27,West Town,North Branch (South),09/06/2012,10/01/2013,Industrial,Solar Panels,58548.54,133401.4,1,2,POINT (-87.659970991 41.907915981)
La Fiesta Mexican Restaurant,Michael M Grant,3333,,W,111th,St,19,Mount Greenwood,111th/Kedzie,03/29/2010,03/29/2011,Commercial,"Purchase of Adjacent Property, iron fencing",107500,215000,,,POINT (-87.704692971 41.691373997)
Kurt Balder,Kurt Balder,3647,,W,Armitage,Ave,26,Logan Square,Fullerton/Milwaukee,04/06/2018,04/24/2019,Commercial,"restoration of the façade and commercial storefront (demolition; replace steel beam; replace masonry and limestone with like-kind items; install new storefront frames, glass, and door); grind and tuck point the east, west, and south building elevations and replace bricks with like-kind items as needed; remove and replace the existing flat roofing system; remove and replace four (4) windows; remove and replace side entry and rear overhead doors; remove and replace the plumbing lines (cast iron waste and copper supply lines); frame out, drywall, paint, and install tile flooring for an ADA-compliant restroom and furnish and install toilet, lavatory, and faucet fixtures and a new door; furnish and install a new HVAC system (furnace and a/c condenser) and associated duct work",78465.92,112321.23,2,0,POINT (-87.718600979 41.917081006)
La Fonda Latino Grill,Herbert Delgado,5350,,N,Broadway,Ave,48,Edgewater,Bryn Mawr Broadway,06/07/2011,01/11/2012,Commercial,"front façade restoration with new face brick and limestone, install two new i-beams for two windows, lintels, flashing, masonry, tuck-pointing, and masonry wall painting",22335,29780,2,5,POINT (-87.660361001 41.979643992)
Estee Bedding Co,Tim Enright,945,,E,93rd,St,8,Burnside,Stony Island/Burnside,03/01/2012,08/16/2012,Industrial,,18287.5,36575,,25,POINT (-87.600262001 41.724785982)
Carroll House X LLC/ Trope Publishing,Sam Landers,3020,,W,Carroll,Ave,27,East Garfield Park,Kinzie Industrial Corridor,06/11/2019,03/04/2021,General Commercial,"masonry work including the installation of new lintels and bricks as needed, creating openings for restroom and office entrances; and tuckpointing; installation of a new storefront and vestibule system including new doors and windows, and block windows along the rear; plumbing work including new underground piping and plumbing fixtures for the restrooms; electrical work including installation of new electrical panels, wiring, outlets, and switches; HVAC improvements including the installation of new hot water heaters, four (4) new roof top air conditioner units, and exhaust fans with associated connections; concrete work including repairs to the foundation as needed; and build-out of office spaces including new framing, drywall, installation of new ceramic tile flooring, and painting",100000,604361.55,6,6,POINT (-87.702424995 41.887801006)
Sarah's Circle,Kathy Ragnar,4836,,N,Sheridan,Rd,46,Uptown,Lawrence/Broadway,01/08/2013,09/04/2013,Commercial,"excavation and demolition, structural steel, framing and carpentry, drywall and insulation, flooring, rough and finish plumbing, HVAC and installation of a LULA (limited use, limited access) elevator",100000,571782.5,14,9,POINT (-87.655236976 41.970228014)
